MINDTREE,2020-03-30,2021-10-20,1
TCS,2020-03-30,2021-10-20,1
METROPOLIS,2020-03-30,2021-10-20,3
TATAPOWER,2020-03-30,2021-10-20,1
BALAMINES,2020-03-30,2021-10-20,2
MPHASIS,2020-03-30,2021-10-20,1
MASTEK,2020-03-30,2021-10-20,1
MANINFRA,2020-03-30,2021-10-20,1
DEEPAKNTR,2020-03-30,2021-10-20,1
